Years,Burundi,Benin,Brazil,Costa Rica,Cyprus,Haiti,Italy,Sri Lanka,Maldives,Malaysia,Nigeria
1975,80.21806854,16.82334161,24.86904981,41.55895025,19.51298701,57.4383164,59.55934854,37.61760485,23.33333333,13.25259473,60.55315832
1976,81.58099688,17.0893934,25.45781717,43.18448884,19.25324675,57.51088534,59.6001496,38.20762239,23.33333333,13.51276822,60.55315832
1977,83.45015576,17.35544519,26.04658453,44.79044262,19.05844156,57.51088534,59.50494713,38.79763993,23.33333333,13.91185512,55.4399025
1978,82.55451713,17.53281305,26.63535188,46.22013318,18.86363636,57.87373004,59.80415491,39.37171105,23.33333333,14.39659108,53.75122149
1979,81.77570093,17.71018092,27.22411924,47.84567176,18.66883117,57.87373004,59.86875659,37.61760485,23.33333333,14.72868665,52.95958365
1980,81.30841121,17.97623271,27.81925261,49.27536232,18.56060606,58.05515239,59.71235252,37.45814065,23.33333333,14.96575864,55.37951404
1981,80.80218069,18.2422845,28.04616817,50.9009009,19.03679654,58.05515239,59.67495155,37.45814065,23.33333333,15.35471009,51.84514202
1982,80.21806854,18.53494147,28.27310861,52.46768508,19.6969697,58.05515239,59.62395022,36.61298039,26.66666667,15.54646173,53.14514092
1983,80.21806854,18.6236254,28.50004905,52.52643948,19.80519481,58.05515239,58.68552582,36.80433743,26.66666667,15.84367676,53.46355282
1984,80.21806854,18.71230933,28.7269895,53.81903643,19.6969697,58.05515239,58.63112441,36.85217669,26.66666667,15.87618323,57.75991743
1985,80.21806854,18.88967719,28.9536556,52.50685468,17.61904762,58.05515239,58.12451124,36.91596237,26.66666667,16.48379242,60.30501663
1986,81.07476636,19.42178077,28.78382032,51.15550333,17.66233766,58.05515239,57.94430655,37.09137299,26.66666667,17.40952671,65.87942071
1987,81.46417445,19.5104647,28.61394999,49.72581277,17.57575758,58.05515239,57.8423039,37.21894435,26.66666667,18.48546644,66.25273121
1988,81.97040498,19.59914863,28.44407966,48.2373678,17.46753247,58.01886792,57.25408861,37.26678361,26.66666667,19.43022371,66.74352471
1989,81.97040498,19.68783256,28.27420933,46.57265962,17.46753247,57.98258345,57.29148958,37.31462287,26.66666667,20.45868209,67.1761257
1990,82.16510903,20.13125222,28.104339,43.0591461,17.38095238,57.94629898,57.25748869,37.29867645,26.66666667,20.56490641,67.6197064
1991,82.16510903,20.21993615,27.93446867,43.15742264,17.22943723,57.91001451,54.58501921,37.34651571,26.66666667,20.68026176,70.19225491
1992,82.55451713,20.35296204,27.76459834,42.30317274,17.27272727,57.14804064,54.32661249,37.37840855,26.66666667,20.71678588,70.76100442
1993,82.67133956,20.57467187,27.59472801,41.38268703,17.17532468,57.14804064,54.09540648,36.99569447,26.66666667,20.97519403,71.41300767
1994,80.72429907,21.28414331,27.42485768,41.0301606,15.51948052,57.87373004,53.38818809,37.04353373,26.66666667,21.27803987,71.592312
1995,79.32242991,22.34835048,27.25546593,40.10967489,15.48701299,57.69230769,52.13355547,37.09137299,26.66666667,21.20225232,71.77161632
1996,77.60903427,24.03334516,27.267873,39.07168038,15.4978355,57.69230769,52.18795689,37.10731941,26.66666667,21.1873383,71.95092065
1997,76.01246106,25.62965591,27.28028006,38.24911868,15.38961039,61.32075472,52.17435653,37.12326583,26.66666667,21.18003348,72.13022497
